train_loss,train_mse_loss,train_l1_loss,active_features,val_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.392064094543457,1.0430856943130493,58.36100387573242,50.02241897583008,0.0,1733331455,,False,1,b91fe_00000,2024-12-04_16-57-35,46.72318768501282,46.72318768501282,376,8eb6279495b3,172.19.2.2,46.72318768501282,1
1.3508591651916504,1.0055903196334839,57.740631103515625,49.66671371459961,0.0,1733331456,,False,2,b91fe_00000,2024-12-04_16-57-36,0.8110473155975342,47.53423500061035,376,8eb6279495b3,172.19.2.2,47.53423500061035,2
1.295325756072998,0.9547691345214844,56.95261001586914,49.28593063354492,0.0,1733331457,,False,3,b91fe_00000,2024-12-04_16-57-37,0.8151509761810303,48.34938597679138,376,8eb6279495b3,172.19.2.2,48.34938597679138,3
1.2493505477905273,0.9155129194259644,55.828956604003906,48.897544860839844,0.0,1733331461,,False,4,b91fe_00000,2024-12-04_16-57-41,4.0533013343811035,52.402687311172485,376,8eb6279495b3,172.19.2.2,52.402687311172485,4
1.2681231498718262,0.9322938919067383,56.16203308105469,48.523826599121094,0.0,1733331468,,False,5,b91fe_00000,2024-12-04_16-57-48,6.970757246017456,59.37344455718994,376,8eb6279495b3,172.19.2.2,59.37344455718994,5
1.2370688915252686,0.906254768371582,55.32332992553711,48.11343002319336,0.0,1733331469,,False,6,b91fe_00000,2024-12-04_16-57-49,0.81803297996521,60.19147753715515,376,8eb6279495b3,172.19.2.2,60.19147753715515,6
1.210287094116211,0.8840984106063843,54.5498046875,47.7402458190918,0.0,1733331469,,False,7,b91fe_00000,2024-12-04_16-57-49,0.8061830997467041,60.997660636901855,376,8eb6279495b3,172.19.2.2,60.997660636901855,7
1.1864075660705566,0.8651385307312012,53.72706604003906,47.35112762451172,0.0,1733331475,,False,8,b91fe_00000,2024-12-04_16-57-55,5.788950681686401,66.78661131858826,376,8eb6279495b3,172.19.2.2,66.78661131858826,8
1.17377507686615,0.8570494055747986,52.967254638671875,46.96403884887695,0.0,1733331479,,False,9,b91fe_00000,2024-12-04_16-57-59,3.6112024784088135,70.39781379699707,376,8eb6279495b3,172.19.2.2,70.39781379699707,9
1.1693332195281982,0.8550300002098083,52.5621452331543,46.5593147277832,0.0,1733331480,,False,10,b91fe_00000,2024-12-04_16-58-00,0.809096097946167,71.20690989494324,376,8eb6279495b3,172.19.2.2,71.20690989494324,10
1.1433913707733154,0.8347529172897339,51.61479949951172,46.145118713378906,0.0,1733331482,,False,11,b91fe_00000,2024-12-04_16-58-02,2.365447759628296,73.57235765457153,376,8eb6279495b3,172.19.2.2,73.57235765457153,11
1.1258256435394287,0.8213669061660767,50.91581726074219,45.744346618652344,0.0,1733331486,,False,12,b91fe_00000,2024-12-04_16-58-06,3.5520477294921875,77.12440538406372,376,8eb6279495b3,172.19.2.2,77.12440538406372,12
1.1174920797348022,0.8168226480484009,50.28211212158203,45.33884048461914,0.0,1733331489,,False,13,b91fe_00000,2024-12-04_16-58-09,2.9200143814086914,80.04441976547241,376,8eb6279495b3,172.19.2.2,80.04441976547241,13
1.1076502799987793,0.8103443384170532,49.71961975097656,44.94012451171875,0.0,1733331490,,False,14,b91fe_00000,2024-12-04_16-58-10,1.735647439956665,81.78006720542908,376,8eb6279495b3,172.19.2.2,81.78006720542908,14
1.0995826721191406,0.8061468005180359,49.07240676879883,44.55019760131836,0.0,1733331493,,False,15,b91fe_00000,2024-12-04_16-58-13,2.6339497566223145,84.41401696205139,376,8eb6279495b3,172.19.2.2,84.41401696205139,15
1.0851922035217285,0.7958359718322754,48.39015197753906,44.14122009277344,0.0,1733331494,,False,16,b91fe_00000,2024-12-04_16-58-14,1.3985390663146973,85.81255602836609,376,8eb6279495b3,172.19.2.2,85.81255602836609,16
1.0749069452285767,0.7900691032409668,47.6345329284668,43.71222686767578,0.0,1733331502,,False,17,b91fe_00000,2024-12-04_16-58-22,7.714112758636475,93.52666878700256,376,8eb6279495b3,172.19.2.2,93.52666878700256,17
1.0574119091033936,0.7766819000244141,46.94755554199219,43.319114685058594,0.0,1733331503,,False,18,b91fe_00000,2024-12-04_16-58-23,1.284468650817871,94.81113743782043,376,8eb6279495b3,172.19.2.2,94.81113743782043,18
1.0573251247406006,0.7787439227104187,46.58821105957031,42.93152618408203,0.0,1733331504,,False,19,b91fe_00000,2024-12-04_16-58-24,0.8161616325378418,95.62729907035828,376,8eb6279495b3,172.19.2.2,95.62729907035828,19
1.0412949323654175,0.7673558592796326,45.81188201904297,42.524417877197266,0.0,1733331508,,False,20,b91fe_00000,2024-12-04_16-58-28,4.107988595962524,99.7352876663208,376,8eb6279495b3,172.19.2.2,99.7352876663208,20
1.0308728218078613,0.7609995603561401,45.13193893432617,42.19841766357422,0.0,1733331515,,False,21,b91fe_00000,2024-12-04_16-58-35,7.171280860900879,106.90656852722168,376,8eb6279495b3,172.19.2.2,106.90656852722168,21
1.0191974639892578,0.7532605528831482,44.47366714477539,41.82087707519531,0.0,1733331516,,False,22,b91fe_00000,2024-12-04_16-58-36,0.8109803199768066,107.71754884719849,376,8eb6279495b3,172.19.2.2,107.71754884719849,22
1.0086941719055176,0.7460969686508179,43.91514587402344,41.419307708740234,0.0,1733331517,,False,23,b91fe_00000,2024-12-04_16-58-37,0.8098611831665039,108.52741003036499,376,8eb6279495b3,172.19.2.2,108.52741003036499,23
